index, name, zvalue, xvalue, yvalue 
449, Cell_0450.png, 0.18, 0.81, 0.12 
450, Cell_0451.png, 0.21, 0.57, 0.27 
451, Cell_0452.png, 0.16, 0.87, 0.31 
452, Cell_0453.png, 0.27, 0.43, 0.40 
453, Cell_0454.png, 0.20, 0.38, 0.79 
454, Cell_0455.png, 0.15, 0.54, 0.72 
455, Cell_0456.png, 0.22, 0.80, 0.81 
456, Cell_0457.png, 0.15, 0.18, 0.58 
457, Cell_0458.png, 0.22, 0.68, 0.53 
458, Cell_0459.png, 0.23, 0.45, 0.18 
459, Cell_0460.png, 0.23, 0.39, 0.64 
460, Cell_0461.png, 0.18, 0.13, 0.44 
461, Cell_0462.png, 0.19, 0.72, 0.34 
462, Cell_0463.png, 0.25, 0.95, 0.11 
463, Cell_0464.png, 0.20, 0.01, 0.22 
464, Cell_0465.png, 0.13, 0.93, 0.44 
465, Cell_0466.png, 0.21, 0.87, 0.90 
466, Cell_0467.png, 0.25, 0.04, 0.45 
467, Cell_0468.png, 0.22, 0.14, 0.30 
468, Cell_0469.png, 0.15, 0.29, 0.21 
469, Cell_0470.png, 0.24, 0.24, 0.65 
470, Cell_0471.png, 0.25, 0.50, 0.10 
471, Cell_0472.png, 0.20, 0.44, 0.41 
472, Cell_0473.png, 0.31, 0.05, 0.46 
473, Cell_0474.png, 0.22, 0.70, 0.13 
474, Cell_0475.png, 0.24, 0.54, 0.57 
475, Cell_0476.png, 0.22, 0.77, 0.44 
476, Cell_0477.png, 0.20, 0.68, 0.06 
477, Cell_0478.png, 0.25, 0.92, 0.05 
478, Cell_0479.png, 0.10, 0.42, 0.22 
479, Cell_0480.png, 0.16, 0.27, 0.53 
480, Cell_0481.png, 0.27, 0.07, 0.75 
481, Cell_0482.png, 0.25, 0.20, 0.26 
482, Cell_0483.png, 0.19, 0.49, 0.29 
483, Cell_0484.png, 0.19, 0.40, 0.08 
484, Cell_0485.png, 0.22, 0.83, 0.10 
485, Cell_0486.png, 0.26, 0.34, 0.66 
486, Cell_0487.png, 0.21, 0.45, 0.83 
487, Cell_0488.png, 0.08, 0.81, 0.68 
488, Cell_0489.png, 0.22, 0.68, 0.38 
489, Cell_0490.png, 0.18, 0.77, 0.80 
490, Cell_0491.png, 0.23, 0.14, 0.39 
491, Cell_0492.png, 0.23, 0.54, 0.76 
492, Cell_0493.png, 0.18, 0.64, 0.47 
493, Cell_0494.png, 0.14, 0.36, 0.88 
494, Cell_0495.png, 0.24, 0.61, 0.45 
495, Cell_0496.png, 0.21, 0.33, 0.29 
496, Cell_0497.png, 0.22, 0.92, 0.30 
497, Cell_0498.png, 0.22, 0.24, 0.79 
498, Cell_0499.png, 0.16, 0.98, 0.83 
499, Cell_0500.png, 0.20, 0.27, 0.67 
500, Cell_0501.png, 0.19, 0.48, 0.47 
501, Cell_0502.png, 0.18, 0.58, 0.87 
502, Cell_0503.png, 0.22, 0.25, 0.36 
503, Cell_0504.png, 0.19, 0.22, 0.69 
504, Cell_0505.png, 0.15, 0.62, 0.68 
505, Cell_0506.png, 0.23, 0.64, 0.87 
506, Cell_0507.png, 0.24, 0.42, 0.54 
507, Cell_0508.png, 0.14, 0.57, 0.49 
508, Cell_0509.png, 0.16, 0.90, 0.45 
509, Cell_0510.png, 0.15, 0.74, 0.84 
510, Cell_0511.png, 0.19, 0.80, 0.21 
511, Cell_0512.png, 0.18, 0.22, 0.40 
512, Cell_0513.png, 0.20, 0.87, 0.55 
513, Cell_0514.png, 0.20, 0.13, 0.55 
514, Cell_0515.png, 0.22, 0.30, 0.55 
